A_sec,A_trab,fc,L1,L2,Pisos,Cm,Cv,vigas_sec_bf,vigas_sec_tf,vigas_sec_h,vigas_sec_tw,vigas_trab_bf,vigas_trab_tf,vigas_trab_h,vigas_trab_tw,col_b,col_h,col_e,ep4e_tp,ep4e_bp,ep4e_g,ep4e_pf,ep4e_perno,Resultados_Mpr_iz,Resultados_Mpr_der,Resultados_Sh_iz,Resultados_Sh_der,Resultados_Vu_iz,Resultados_Vu_der,Resultados_Mf_iz,Resultados_Mf_der,Resultados_Esfv_iz,Resultados_Esfv_der,Resultados_Efst_iz,Resultados_Efst_der,Resultados_Estreal_iz,Resultados_Estreal_der,Resultados_tp_min_iz,Resultados_tp_min_der,Refuerzo Adicional_Zp_iz,Refuerzo Adicional_Zp_der,Refuerzo Adicional_g_iz,Refuerzo Adicional_g_der
50,50,280,4.1186298231843645,4.557694405682222,4,0.6699931911890461,0.17042240741042358,12.919553927147483,1.0565193114935378,48.4296231145605,0.6324284595992045,13.23695430364224,0.8451668166293612,49.253958640896265,0.7571332989605895,27.041598430152526,34.03784872131576,0.6073277028650994,2.6269591073145993,29.54260471317277,19.457688198246643,5.570392708105363,1.1190908107243085,44.98,44.98,24.627,24.627,35.02,35.02,53.604,53.604,9.787,9.787,113.0,113.0,62.052,62.052,2.115,2.115,39.711,39.711,43.79,43.79
50,50,210,4.6181301782007385,7.331640503954995,4,0.41990536379935123,0.23716835643250045,11.3563567138644,1.1468849405905952,23.984749335853426,0.7872399192987134,14.053773708128308,0.7381471047336968,46.03287001589829,0.5434513250889741,25.425790091977426,35.926193484157096,0.5152355525809353,1.7672536029651298,16.216608299933675,12.057039156043993,3.045359801673481,0.9507728684879366,34.303,34.303,23.016,23.016,24.126,24.126,39.856,39.856,9.341,9.341,113.0,113.0,68.314,68.314,1.881,1.881,42.161,42.161,33.721,33.721
36,36,280,7.4674766534525405,7.476588099858846,3,0.568519448196428,0.320543890208453,12.550743584851759,1.148215827108396,34.76988280693952,0.39130895474394656,14.857469005876201,0.9120526082153794,49.45542762691254,0.7548014032123918,26.892842792982478,29.773815327875052,0.6484437126273686,2.191255275081983,24.64736076075782,14.738180467457054,5.2479919508836055,1.1468782545194747,42.857,42.857,24.728,24.728,21.505,21.505,48.174,48.174,5.722,5.722,113.0,113.0,52.95,52.95,2.046,2.046,44.572,44.572,47.29,47.29
36,36,280,6.0275157867236855,7.486411589182524,4,0.6166110069171771,0.2800470202857982,14.956216793884268,1.090884876407272,27.05971442564075,0.38772879932047855,20.322053533553245,1.3155065031906494,57.28352906056491,0.8473089180408147,36.10005590528975,39.064274103874695,0.7951198361284799,1.794964419433783,24.11600705402608,18.58608795280331,4.036682248445491,1.1649986361984401,84.021,84.021,28.642,28.642,47.342,47.342,97.58,97.58,12.209,12.209,113.0,113.0,90.154,90.154,2.567,2.567,57.284,57.284,74.831,74.831
36,50,210,7.903171667779288,7.408880791011557,2,0.5282177539014037,0.22030965461162066,13.655094674413846,1.0281273091576963,27.96488890439977,0.34374794688570964,15.088543366588379,1.0988164954825868,44.68627301496625,0.9249783661889428,29.16800111133587,27.99341222001229,0.34028336535344156,3.2794858822134003,24.13445212901398,18.001929261230963,4.473899803537268,1.025244264190206,52.88,52.88,22.343,22.343,19.724,19.724,57.287,57.287,6.568,6.568,113.0,113.0,87.751,87.751,2.314,2.314,44.686,44.686,54.345,54.345
50,36,210,5.664178151294243,6.7217436926172365,1,0.3829721587131381,0.15997191722729878,10.376545638974754,0.8602130725027777,39.151896988020624,0.5576814839253674,24.09392306678935,1.5964397284546905,48.65636993876605,0.7290204443394803,29.566746406492705,35.9490668335083,0.36664058022152707,1.5172431123673926,20.49179805515249,15.937051223720474,3.9126925606345284,0.7775823984235448,86.306,86.306,24.328,24.328,40.777,40.777,96.226,96.226,23.604,23.604,102.152,102.152,237.335,237.335,2.912,2.912,48.656,48.656,82.555,82.555
50,36,210,5.4744367866203625,6.256872673304627,3,0.5896016368557808,0.20227950203434908,13.059356075409294,0.7087319310446974,20.532149091510625,0.6959808431532186,12.405902093040618,0.9819863958419356,57.207755366304994,0.8915298113874756,34.39180756367814,39.72510054635385,0.5426627249916822,2.6382484000776643,28.405572024947396,19.90449097629297,3.0782728449575907,0.9839908855737212,53.878,53.878,28.604,28.604,32.97,32.97,63.309,63.309,11.918,11.918,113.0,113.0,81.613,81.613,1.748,1.748,37.218,37.218,55.212,55.212
50,50,280,6.582949075948916,6.445654032751801,4,0.4582019677459499,0.1879506013013111,14.456347197146878,0.8317583414880032,49.81592955665606,0.5140495379004187,19.542569637563105,1.2021245597611165,44.238370662510505,0.9937476113309149,27.78110366595893,34.425181218735474,0.6541795257052273,3.34015883399527,25.250820877694668,12.32531274049176,3.0090949155626077,1.2373858641031354,67.058,67.058,22.119,22.119,31.963,31.963,74.128,74.128,7.306,7.306,113.0,113.0,78.95,78.95,2.192,2.192,44.238,44.238,66.418,66.418
36,50,280,5.645733937737704,5.21720194234368,3,0.3847864897368589,0.3382851048478072,13.552145848735906,0.9167101486948007,22.757259815613978,0.3533021084624517,12.278092581901308,1.2789679904934776,56.10677303267029,0.9133418660499388,38.53831366369117,29.208290776385127,0.5996324052627064,2.232246554267323,25.488120521514784,13.827325382085977,3.7608334451850034,0.8508938419508402,70.301,70.301,28.053,28.053,41.474,41.474,81.936,81.936,20.049,20.049,108.907,108.907,144.855,144.855,2.21,2.21,36.834,36.834,60.236,60.236
36,50,210,7.683393903579328,7.461726596053612,1,0.5737069343146497,0.19933008680418385,14.152342095626699,0.8281138092011802,23.087415903523166,0.43953144079504514,22.170406473754873,1.3108705143716946,31.415712717736273,0.6307357195109021,38.17355272288358,27.127481998090808,0.6778013261055851,2.0374950843045476,20.02792938453677,17.70676299535841,3.96266620736268,1.157521333917639,46.643,46.643,15.708,15.708,26.288,26.288,50.772,50.772,6.867,6.867,113.0,113.0,88.338,88.338,2.744,2.744,31.416,31.416,57.215,57.215
50,36,210,4.502794713234168,4.2855716037896645,1,0.31614677412231057,0.27521630717083423,13.152280248790277,1.056449615113466,33.01156575475888,0.6483921147388025,24.92353044072422,1.533075781184526,41.69376719302949,0.7852233989355579,27.424280936167552,37.02152256034441,0.35806972306494195,1.6704454592837024,19.91500436677057,12.031670378793429,5.349411354554672,1.188446035908734,72.121,72.121,20.847,20.847,42.753,42.753,81.034,81.034,10.594,10.594,113.0,113.0,100.258,100.258,3.122,3.122,41.694,41.694,80.063,80.063
36,36,280,7.651471884072419,5.807064210464819,3,0.6155518263554391,0.16564654908588258,15.427958648216851,1.1028418751651425,27.408374117506977,0.7126615853342941,16.747307592737283,1.141315318101228,57.339485579503425,0.6325023692698899,31.3987057355407,34.5687692372222,0.31342354660959754,2.542383963928076,18.378990582855604,10.69393409448411,3.813815411624649,1.0415408725701627,61.31,61.31,28.67,28.67,23.049,23.049,67.918,67.918,7.436,7.436,113.0,113.0,78.185,78.185,2.209,2.209,50.242,50.242,54.789,54.789
36,50,280,6.874131920076767,5.969435705054416,1,0.6815459422196819,0.28482496490684983,19.981505272974744,1.1160140744012406,24.799122700251658,0.31106531861627096,18.936122753732555,1.108172458544769,48.13302100193647,0.813565280880922,28.247863170071714,37.427265675596395,0.5143925511474567,1.59349182235326,24.479734570225304,12.639312308923273,5.5070571926649325,0.9979215096270615,65.657,65.657,24.067,24.067,28.756,28.756,72.578,72.578,10.107,10.107,113.0,113.0,108.767,108.767,2.548,2.548,48.133,48.133,59.494,59.494
36,50,210,4.177253971242258,5.634255585472916,3,0.5243289030117103,0.2514458730330531,14.836224865697442,0.8137143081414624,43.53767309169629,0.6018203713230377,13.360206920571866,1.3804161585329044,31.09705725521248,0.5920419667296322,35.471560895556024,29.445853649514863,0.3490815115686742,3.08883207263586,18.13426477857224,11.375569601051152,5.095202079033502,0.8259604612352447,30.931,30.931,15.549,15.549,23.808,23.808,34.633,34.633,12.214,12.214,113.0,113.0,119.891,119.891,2.443,2.443,31.097,31.097,40.246,40.246
50,36,210,7.324919609874551,7.2386925835378895,1,0.3687887216486154,0.27017566858715947,15.980866670863087,0.8026523332676196,36.601424615830496,0.7377022723406461,18.464447388177962,1.4736098676931009,32.2458004774422,0.7858758071999576,28.151362058220222,31.148612341131887,0.6353243984170474,2.862333831473256,22.48698619951727,18.044845507182742,3.7656695648312426,1.0876628756267879,39.7,39.7,16.123,16.123,20.757,20.757,43.047,43.047,6.141,6.141,113.0,113.0,82.987,82.987,2.341,2.341,32.246,32.246,58.083,58.083
